expression,reading,meaning,tags,guid
おだてる,おだてる,비행기(를) 태우다,JLPT_1 JLPT,"c}qANB`J7,"
落ち込む,おちこむ,함몰되다,JLPT_1 Genki_Ln.16 JLPT Genki,B0Aq~FM[^o
落ち着き,おちつき,침착,JLPT_1 JLPT,"k)L1,/cgqd"
落葉,おちば,낙엽,JLPT_1 JLPT,qPS6$v<zNn
乙,おつ,둘째 천간,JLPT_1 JLPT,"CTIZFIH,kM"
お使い,おつかい,심부름,JLPT_1 JLPT,"Q3Uu~eV;,,"
おっかない,おっかない,"무서운, 소름 끼치는",JLPT_1 JLPT,r<$W[mdg(3
お手上げ,おてあげ,"속수무책, 두 손 들다",JLPT_1 JLPT,J({SY<_/!4
おどおど,おどおど,쩔쩔매다,JLPT_1 JLPT,hFdj&!1iUO
脅す,おどす,주먹다짐하다,JLPT_1 JLPT,l9J?^6gNw8
訪れる,おとずれる,"찾다, 찾아보다",JLPT_1 JLPT,M;`!*}::|V
お供,おとも,"시종, 동반자",JLPT_1 JLPT,x[kh8D~cRx
衰える,おとろえる,퇴조하다,JLPT_1 JLPT,pxXWt`7[Xh
同い年,おないどし,동갑,JLPT_1 JLPT,uOL4]ka~4C
自ずから,おのずから,"저절로, 절로",JLPT_1 JLPT,CsPmT^E4si
怯える,おびえる,겁먹다,JLPT_1 JLPT,Bil>aIK.P>
おびただしい,おびただしい,"(수량) 매우 많다; 정도를 넘고 있다, 심하다",JLPT_1 JLPT,F0E@v8v<tK
脅かす,おびやかす,위협하다,JLPT_1 JLPT,y}AqB/U_jH
帯びる,おびる,띠다,JLPT_1 JLPT,zXZ(?*QD)1
お袋,おふくろ,어머니,JLPT_1 JLPT,Iky=(#jNrr
覚え,おぼえ,기억,JLPT_1 JLPT,z/W-oJ8vaW
おまけ,おまけ,덤,JLPT_1 JLPT,rsBcP;b`Jp
お宮,おみや,신사,JLPT_1 JLPT,COvUCQv?BW
おむつ,おむつ,기저귀,JLPT_1 JLPT,FRkuxmL~/i
思い付き,おもいつき,착상,JLPT_1 JLPT,gk=p@=>B|;
趣,おもむき,운치,JLPT_1 JLPT,o+otz^p(oN
赴く,おもむく,가다,JLPT_1 JLPT,E5WffQ+ViL
重んじる,おもんじる,"존중하다, 존경하다, 소중히 여기다",JLPT_1 JLPT,"gj_$ok,;mR"
重んずる,おもんずる,"존중하다, 존경하다, 가치 있게 여기다",JLPT_1 JLPT,c;eXv;e7cc
親父,おやじ,"아버지, 노인, 상사",JLPT_1 JLPT,g;f)J>kju#
及び,および,"급, 및",JLPT_1 JLPT,"F5z-<*3Tg,"
及ぶ,およぶ,"닿다, 미치다",JLPT_1 JLPT,Lj7$<D<:Dd
折,おり,"틈, 틈새",JLPT_1 JLPT,y[AaTw+T{(
檻,おり,우리,JLPT_1 JLPT,Lj@q6`R`I<
オリエンテーション,オリエンテーション,오리엔테이션,JLPT_1 JLPT,i;fk@T:&ys
折り返す,おりかえす,"되돌다, 되돌리다",JLPT_1 JLPT,x-(77`TIyH
織物,おりもの,직물,JLPT_1 JLPT,@6F9JKGsN
俺,おれ,나,JLPT_1 JLPT,M3v%b}<>}t
愚か,おろか,"멍청한, 아둔한, 둔한, 어리석은",JLPT_1 JLPT,Ch>U~}L@[9
おろそか,おろそか,"소홀함, 등한시",JLPT_1 JLPT,H$%#VMqb~n
おんぶ,おんぶ,"업기, 등에 업음",JLPT_1 JLPT,w[CU60-p%`
オンライン,オンライン,온라인,JLPT_1 JLPT,i=qSrR2s#(
温和,おんわ,온화,JLPT_1 JLPT,II+hgA8I:B
我,が～,자아,JLPT_1 JLPT,KEYq:ht}?d
カーペット,カーペット,카펫,JLPT_1 JLPT,fn]9l!yDf>
～界,～かい,-계,JLPT_1 JLPT,d]il$5=Qs$
～街,～がい,-가,JLPT_1 JLPT,PH:pbBSE|j
改悪,かいあく,개악,JLPT_1 JLPT,/C5*Xn=Cv
海運,かいうん,해운,JLPT_1 JLPT,"CDcOa:,]6U"
外貨,がいか,외화,JLPT_1 JLPT,P{MzU_0f=F
改革,かいかく,개혁,JLPT_1 JLPT,"nxg,|fRPK9"
貝殻,かいがら,조개껍질,JLPT_1 JLPT,rr4Z^$`(_`
外観,がいかん,"체재, 체제",JLPT_1 JLPT,JF[`}jk]g#
階級,かいきゅう,계급,JLPT_1 JLPT,G#*h9O@`+|
海峡,かいきょう,해협,JLPT_1 JLPT,jy18h1NAzv
会見,かいけん,회견,JLPT_1 JLPT,umW!}@pgti
介護,かいご,"간병, 돌봄",JLPT_1 JLPT,kEe>~$Z:bi
開催,かいさい,개최,JLPT_1 JLPT,%(;Yq~m~L
回収,かいしゅう,회수,JLPT_1 JLPT,j[pPaa[c]=
改修,かいしゅう,개수,JLPT_1 JLPT,QiUw+PPipY
怪獣,かいじゅう,괴수,JLPT_1 JLPT,r8Gl`sM7J8
解除,かいじょ,해제,JLPT_1 JLPT,Mgd/-R9vWQ
外相,がいしょう,외무상,JLPT_1 JLPT,yrLi>.nXho
害する,がいする,해하다,JLPT_1 JLPT,Hi`w1ksG:H
概説,がいせつ,"개설, 개요",JLPT_1 JLPT,nT]AQT3`Q*
回送,かいそう,회송,JLPT_1 JLPT,L?pD4!Fpg8
階層,かいそう,"층위, 계층",JLPT_1 JLPT,H^MD?o[__x
開拓,かいたく,개척,JLPT_1 JLPT,FypVZrRtNH
会談,かいだん,회담,JLPT_1 JLPT,uN=.m/8Z~3
改定,かいてい,개정,JLPT_1 JLPT,g6THSZ_v^<
改訂,かいてい,개정,JLPT_1 JLPT,v0XHWw$0B0
ガイド,ガイド,안내,JLPT_1 JLPT,CvJbP*(I@%
街道,かいどう,가도,JLPT_1 JLPT,N$n&)AJVWA
該当,がいとう,해당,JLPT_1 JLPT,nkZ}`ld7f?
街頭,がいとう,길거리,JLPT_1 JLPT,tQu}Nu#P].
ガイドブック,ガイドブック,가이드북,JLPT_1 JLPT,Eo9u]7eh((
介入,かいにゅう,개입,JLPT_1 JLPT,pZJnTW/Kh#
概念,がいねん,개념,JLPT_1 JLPT,E|SNJ<R/iJ
開発,かいはつ,개발,JLPT_1 JLPT,Kw[.UTN4^R
海抜,かいばつ,해발,JLPT_1 JLPT,jLVxr@vo2y
介抱,かいほう,병구완,JLPT_1 JLPT,j$OYFEbGs|
解剖,かいぼう,해부,JLPT_1 JLPT,iL)PO8n0NO
外来,がいらい,외래,JLPT_1 JLPT,~V$m/9|o}
回覧,かいらん,회람,JLPT_1 JLPT,E}}4:_!82P
概略,がいりゃく,개략,JLPT_1 JLPT,N)qY<nUP|*
海流,かいりゅう,해류,JLPT_1 JLPT,xa/eyqaPDe
改良,かいりょう,개량,JLPT_1 JLPT,"v?jE,5xyr`"
回路,かいろ,회로,JLPT_1 JLPT,fdIy<8[a*F
海路,かいろ,해로,JLPT_1 JLPT,t536M9u42&
省みる,かえりみる,"반성하다, 되돌아보다",JLPT_1 JLPT,taa>Gm>Nxx
顧みる,かえりみる,"뒤돌아보다, 되돌아보다",JLPT_1 JLPT,ho_c78W;*R
顔付き,かおつき,얼굴색,JLPT_1 JLPT,k<|EsPF(U~
課外,かがい,과외,JLPT_1 JLPT,ImdEjfLr)>
掲げる,かかげる,"(신문이나 잡지에) 싣다, 게재하다",JLPT_1 JLPT,Q[6r`gY-ir
かかと,かかと,발꿈치,JLPT_1 JLPT,F`djJ$owDP
書き取る,かきとる,"필기하다, 받아쓰다",JLPT_1 JLPT,OeW)s:B>?h
掻き回す,かきまわす,"휘젓다, 혼란스럽게 하다, 방해하다",JLPT_1 JLPT,"wp9#,9/+Z4"
かく (はじを),かく (はじを),창피를 당하다,JLPT_1 JLPT,h*j3Yxxcj{
～画,～かく,획,JLPT_1 JLPT,G#l-jHUMTG
学芸,がくげい,학예,JLPT_1 JLPT,xM-CyLgdV}
格差,かくさ,격차,JLPT_1 JLPT,zvfu/3%U&J
拡散,かくさん,확산,JLPT_1 JLPT,y__Cg;3rb:
学士,がくし,학사,JLPT_1 JLPT,Pq<3#+rCX)
各種,かくしゅ,각종,JLPT_1 JLPT,Jb^Vb%.N$q
隔週,かくしゅう,격주,JLPT_1 JLPT,QbwTj%&$c)
確信,かくしん,확신,JLPT_1 JLPT,zEL{[Q8QNW
革新,かくしん,혁신,JLPT_1 JLPT,ti4?AE7Yh@
学説,がくせつ,학설,JLPT_1 JLPT,GlxSp@=1Ze
確定,かくてい,확정,JLPT_1 JLPT,"e18p,U0K#7"
カクテル,カクテル,칵테일,JLPT_1 JLPT,"E($,YP#I6d"
獲得,かくとく,획득,JLPT_1 JLPT,"B^,*K>>n_|"
楽譜,がくふ,악보,JLPT_1 JLPT,qMA}9*EjCn
確保,かくほ,확보,JLPT_1 JLPT,uY<*K%.TG@
革命,かくめい,혁명,JLPT_1 JLPT,O;mF68dq6Q
確立,かくりつ,정립,JLPT_1 JLPT,m(/`$&[BF3
賭,かけ,"내기, 도박",JLPT_1 JLPT,s:YO~5k/sp
掛～,かけ～,"외상, 신용",JLPT_1 JLPT,c#>^nQjhVy
～掛け,～かけ,"걸이, 받침",JLPT_1 JLPT,"Lr[e?zZ5,<"
崖,がけ,벼랑,JLPT_1 JLPT,lH2H25www/
駆け足,かけあし,뜀박질,JLPT_1 JLPT,Nd5EP#88A|
家計,かけい,가계,JLPT_1 JLPT,vh}KbR&s=#
駆けっこ,かけっこ,(달리기) 경주,JLPT_1 JLPT,"A8,h2([S[A"
加工,かこう,가공,JLPT_1 JLPT,E^@%K2YN]n
化合,かごう,화합,JLPT_1 JLPT,my>j<9l(Hz
かさばる,かさばる,부피가 크다,JLPT_1 JLPT,"nuG,E:/*HK"
かさむ,かさむ,"늘어나다, 불어나다",JLPT_1 JLPT,D*tj!&=/|(
箇条書,かじょうがき,"항목별 기술, 개조식",JLPT_1 JLPT,uU[=f*p0xK
頭,かしら,우두머리,JLPT_1 JLPT,qKQ^U]P!d/
微か,かすか,"희미한, 흐릿한, 약한",JLPT_1 JLPT,"iuQ;E47,]H"
霞む,かすむ,안개끼다,JLPT_1 JLPT,Muk^XW#N{G
擦る,かする,"문지르다, 마찰시키다",JLPT_1 JLPT,b*c:1ipqfg
火星,かせい,화성,JLPT_1 JLPT,hK6{i6DNme
化石,かせき,화석,JLPT_1 JLPT,i)2P[%uf@w
河川,かせん,강,JLPT_1 JLPT,j9XYM<zDW5
化繊,かせん,합성 섬유,JLPT_1 JLPT,A<4D0W-y5X
過疎,かそ,과소,JLPT_1 JLPT,C6FP<#I<*d
片～,かた～,짝-,JLPT_1 JLPT,p/$/VrksK}
片言,かたこと,"서투른 말, 더듬더듬하는 말",JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,nEkc_9&ki`
傾ける,かたむける,기울이다,JLPT_1 JLPT,g+aTq;z^TG
固める,かためる,굳히다,JLPT_1 JLPT,M}jO{cRWN^
傍ら,かたわら,옆; ~하면서(일어나는 시간대가 다른 경우에 씀),JLPT_1 JLPT,H(u3_23(VR
花壇,かだん,화단,JLPT_1 JLPT,vyDiG-w#Vb
家畜,かちく,가축,JLPT_1 JLPT,sf(M2A{2zC
且つ,かつ,"동시에, 또한",JLPT_1 JLPT,"bxhWiXnmE,"
がっくり,がっくり,"낙담하여, 맥이 빠져",JLPT_1 JLPT,n#j+;o[:]<
合唱,がっしょう,합창,JLPT_1 JLPT,"ck-jle>!,g"
がっしり,がっしり,탄탄히,JLPT_1 JLPT,Kl0>:WZG~Z
合致,がっち,합치,JLPT_1 JLPT,Af^(s-@)C7
がっちり,がっちり,"단단히, 빈틈없이",JLPT_1 JLPT,dl.]7IVV60
かつて,かつて,미처,JLPT_1 JLPT,fI;@sLyG_Q
勝手,かって,부엌,JLPT_1 JLPT,r+VI)d1wQ0
カット,カット,"자르다, 자르는 것",JLPT_1 JLPT,Q+NVsyIn!c
活発,かっぱつ,활발; 활발한,JLPT_1 JLPT,M`7Eo@!%5A
合併,がっぺい,합병,JLPT_1 JLPT,h>=`Vc9TZZ
カテゴリー,カテゴリー,범주,JLPT_1 JLPT,JAwB1=<{pF
叶う,かなう,실현되다,JLPT_1 JLPT,E5LD5p#as=
叶える,かなえる,"(요청, 소망)을 들어주다",JLPT_1 JLPT,x!3$MxvZF0
金槌,かなづち,쇠망치,JLPT_1 JLPT,C7&9nlfhkO
かなわない,かなわない,"당해낼 수 없다, 견딜 수 없다",JLPT_1 JLPT,i9$e:WA[rV
加入,かにゅう,가입,JLPT_1 JLPT,"w%]Rn6,Z,X"
予て,かねて,"이전부터, 미리",JLPT_1 JLPT,i+&=;*57v}
庇う,かばう,감싸다,JLPT_1 JLPT,e-}GY5UR@1
株式,かぶしき,주식,JLPT_1 JLPT,nMsDO&gGxt
かぶれる,かぶれる,오르다,JLPT_1 JLPT,C5U+~~@Gnd
花粉,かふん,꽃가루,JLPT_1 JLPT,Gm8]&VGB-;
貨幣,かへい,화폐,JLPT_1 JLPT,F<$WXw={D<
構える,かまえる,두다,JLPT_1 JLPT,jB<-nj(U&|
過密,かみつ,과밀,JLPT_1 JLPT,AOD1mkToDl
噛み切る,かみきる,물어뜯다,JLPT_1 JLPT,"hh,VOk`A<;"
カムバック,カムバック,컴백,JLPT_1 JLPT,HjHeH1>k=t
カメラマン,カメラマン,카메라맨,JLPT_1 JLPT,:MlB;<{_:
粥,かゆ,죽,JLPT_1 JLPT,fFz9w`]5pq
体付き,からだつき,몸매,JLPT_1 JLPT,D?fkTo{@|E
絡む,からむ,"얽히다, 휘감기다",JLPT_1 JLPT,O17r;^Y(oJ
かりに,かりに,"일시적으로; 만약, 예를 들어",JLPT_1 JLPT,c$0g$/@+f7
カルテ,カルテ,임상 기록 (독일어: 카드),JLPT_1 JLPT,GwQApsAV[E
ガレージ,ガレージ,차고,JLPT_1 JLPT,LKr$xf+m)f
過労,かろう,과로,JLPT_1 JLPT,Dx#E|nd<`@
かろうじて,かろうじて,겨우,JLPT_1 JLPT,wzpJb%R2eZ
交す,かわす,교환하다,JLPT_1 JLPT,ytWMD-K7Sv
代る代る,かわるがわる,번갈아 가며,JLPT_1 JLPT,Q<D|kTCMFu
簡易,かんい,간이,JLPT_1 JLPT,Qdl&|7}97?
灌漑,かんがい,관개,JLPT_1 JLPT,x3v&{30@Ie
眼科,がんか,안과,JLPT_1 JLPT,y$)@b7Z=25
眼球,がんきゅう,"눈방울, 눈알",JLPT_1 JLPT,ppa9QzmFoc
玩具,がんぐ,장난감,JLPT_1 JLPT,Fu?U%1UjU`
簡潔,かんけつ,간결; 간결한,JLPT_1 JLPT,Ch64u(7Zi6
還元,かんげん,환원,JLPT_1 JLPT,b1~cd_rb8g
看護,かんご,병간호,JLPT_1 JLPT,v]`cby4zI~
漢語,かんご,중국 사람들이 그들이 쓰는 언어를 일컫는 말로서 한국어로는 중국어; 일본어에서 한자음으로 읽는 언어,JLPT_1 JLPT,BzS`z3a0wD
頑固,がんこ,옹고집,JLPT_1 JLPT,iS7AjV-r.~
勧告,かんこく,권고,JLPT_1 JLPT,ReTMd+-Cqd
換算,かんさん,환산,JLPT_1 JLPT,V_iERi63U
監視,かんし,감시,JLPT_1 JLPT,xYmgA~gB7D
慣習,かんしゅう,관습,JLPT_1 JLPT,xb4/I5BD9M
観衆,かんしゅう,관중,JLPT_1 JLPT,suIg*_}y!}
願書,がんしょ,"원서, 지원서",JLPT_1 JLPT,PJ0db[)2y/
干渉,かんしょう,간섭,JLPT_1 JLPT,FlV}wK<+oD
頑丈,がんじょう,"단단한, 견고한, 강한",JLPT_1 JLPT,o)b^-Y;KL)
感触,かんしょく,"촉감, 감촉",JLPT_1 JLPT,Ll+!^%W~Bg
肝心,かんじん,요체,JLPT_1 JLPT,cGezcCU7jN
肝腎,かんじん,요체,JLPT_1 JLPT,qQm@vZEhuX
関税,かんぜい,관세,JLPT_1 JLPT,J<YhnUzDH9
岩石,がんせき,암석,JLPT_1 JLPT,Fvc~*$ysUp
感染,かんせん,감염,JLPT_1 JLPT,yaKv$j-u9~
幹線,かんせん,간선,JLPT_1 JLPT,qnR@^N<xB(
簡素,かんそ,"간소함, 소박함",JLPT_1 JLPT,jcV8%N9G]T
観点,かんてん,견지,JLPT_1 JLPT,sRkkbw!PVn
感度,かんど,감도,JLPT_1 JLPT,c!Eb1-<+V1
カンニング,カンニング,"커닝, 부정행위",JLPT_1 JLPT,f{(PYG4OSM
元年,がんねん,원년,JLPT_1 JLPT,hmCuQzSd35
幹部,かんぶ,간부,JLPT_1 JLPT,L1KYyf^E^2
完ぺき,かんぺき,완벽함,JLPT_1 JLPT,z+SJefr{>B
勘弁,かんべん,"사면, 용서, 관용",JLPT_1 JLPT,"l*Q,*Lu2Mg"
感無量,かんむりょう,감개무량,JLPT_1 JLPT,h`NZ!a[CSf
勧誘,かんゆう,권유,JLPT_1 Intermediate_Japanese_Ln.5 JLPT Intermediate_Japanese,fyr>KNdC{T
関与,かんよ,관여,JLPT_1 JLPT,d<Jle/NX</
寛容,かんよう,관용,JLPT_1 JLPT,f|A2.V0M-n
元来,がんらい,"본디, 본래",JLPT_1 JLPT,Cno5E):pRp
観覧,かんらん,관람,JLPT_1 JLPT,"A$Cx0<I,I0"
慣例,かんれい,관례,JLPT_1 JLPT,t0a}a`u9:H
還暦,かんれき,환갑,JLPT_1 JLPT,4cAN40ulx
貫禄,かんろく,관록,JLPT_1 JLPT,I1]lC*Xh&L
緩和,かんわ,완화,JLPT_1 JLPT,"k^:RZ|u,e@"
議案,ぎあん,의안,JLPT_1 JLPT,"I,VMbY@&-V"
危害,きがい,위해,JLPT_1 JLPT,F>Z;`xG3Np
企画,きかく,기획,JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese,w*I2LS4{H:
規格,きかく,규격,JLPT_1 JLPT,"xzs,)in_UO"
着飾る,きかざる,뽑다,JLPT_1 JLPT,HoI9}BI#^/
気兼ね,きがね,"눈치 봄, 거리낌",JLPT_1 JLPT,GRlL|p}26%
気軽,きがる,"부담 없는, 마음 편한",JLPT_1 JLPT,s;sgdqP}O.
危機,きき,위기,JLPT_1 JLPT,C.^&25N@a~
聞き取り,ききとり,듣기,JLPT_1 JLPT,soL?dWfD3o
効き目,ききめ,효험,JLPT_1 JLPT,"i,@$ZV_BJi"
帰京,ききょう,귀경,JLPT_1 JLPT,wzR`J2j)`0
戯曲,ぎきょく,희곡,JLPT_1 JLPT,Dx[W!Tbqvu
基金,ききん,기금,JLPT_1 JLPT,Jsw14fTONr
喜劇,きげき,희극,JLPT_1 JLPT,vo)8mTt@2i
議決,ぎけつ,결의,JLPT_1 JLPT,ina$-8>Dz[
棄権,きけん,기권,JLPT_1 JLPT,yPr@u5g:%p
既婚,きこん,기혼,JLPT_1 JLPT,"zec,ws!-1^"
気障,きざ,"잘난 체함, 느끼함",JLPT_1 JLPT,PIJe@Xxivf
記載,きさい,기재,JLPT_1 JLPT,"AtF!,w].-2"
兆,きざし,"징조, 전조, 표시",JLPT_1 JLPT,KEdc345jt(
気質,きしつ,기질,JLPT_1 JLPT,sH[}/atE{z
期日,きじつ,"기일, 시일",JLPT_1 JLPT,"v,pIo6nfY,"
きしむ,きしむ,"덜컹거리다, 삐걱거리다, 긁히다",JLPT_1 JLPT,JyV83hu3eM
議事堂,ぎじどう,의사당,JLPT_1 JLPT,ku.2udaM_
記述,きじゅつ,기술,JLPT_1 JLPT,keg8V#>EyG
気象,きしょう,기상,JLPT_1 JLPT,i8sg{g&{j*
傷付く,きずつく,상하다,JLPT_1 JLPT,g#?]Ssa:Ux
傷付ける,きずつける,구기다,JLPT_1 JLPT,W04_o[&8W
犠牲,ぎせい,희생,JLPT_1 JLPT,eAtE.H0;PV
汽船,きせん,기선,JLPT_1 JLPT,"gyZ:?sW,`("
寄贈,きぞう,기증,JLPT_1 JLPT,k3nUp@KIzg
偽造,ぎぞう,위조,JLPT_1 JLPT,K;j2M?f~?!
貴族,きぞく,귀족,JLPT_1 JLPT,inVAX<UF+i
議題,ぎだい,"토론 주제, 의제",JLPT_1 JLPT,Q@WjbgZGbs
鍛える,きたえる,단련시키다,JLPT_1 JLPT,G>3/bExrby
気立て,きだて,마음씨,JLPT_1 JLPT,h61-}t=4fL
来る,きたる,오다,JLPT_1 JLPT,s])r!JZ-b4
きちっと,きちっと,"정확히, 완벽하게",JLPT_1 JLPT,D#t!(nebzD
几帳面,きちょうめん,꼼꼼,JLPT_1 JLPT,Idj9h;q|%y
きっかり,きっかり,"딱, 딱딱",JLPT_1 JLPT,cC(nm-eKo^
きっちり,きっちり,"딱, 딱딱",JLPT_1 JLPT,p.hrrI+jm1
きっぱり,きっぱり,딱 잘라,JLPT_1 JLPT,u>9}K{Kf.I
規定,きてい,규정,JLPT_1 JLPT,KTPp;1&S1u
起点,きてん,"출발점, 기점",JLPT_1 JLPT,",M-]_[Vyp"
軌道,きどう,궤도,JLPT_1 JLPT,P=9KAyqi}b
技能,ぎのう,기능,JLPT_1 JLPT,waI%d;Y5LY
規範,きはん,규범,JLPT_1 JLPT,L8HXSBw0.5
気品,きひん,기품,JLPT_1 JLPT,cT4)YAkk45
気風,きふう,기풍,JLPT_1 JLPT,cU@qu%MT$c
起伏,きふく,기복,JLPT_1 JLPT,DG3WXr]W9o
規模,きぼ,규모,JLPT_1 JLPT,vN{{=xfB<k
気まぐれ,きまぐれ,기분파,JLPT_1 JLPT,EUJagum[Gi
生真面目,きまじめ,"지나치게 성실함, 고지식함",JLPT_1 JLPT,B$#zm{x$(/
期末,きまつ,기말,JLPT_1 JLPT,rB>aq=EB!L
きまりわるい,きまりわるい,"어색하다, 겸연쩍다",JLPT_1 JLPT,i^-fu~OpOW
記名,きめい,"기명, 이름을 적음",JLPT_1 JLPT,LeN-Up#$*/
規約,きやく,규약,JLPT_1 JLPT,p:ItXku)R]
脚色,きゃくしょく,각색,JLPT_1 JLPT,A3B8`j%szk
逆転,ぎゃくてん,역전,JLPT_1 JLPT,b}F-L9oFMV
脚本,きゃくほん,시나리오,JLPT_1 JLPT,BqjNB^gQ4E
華奢,きゃしゃ,"섬세한, 날씬한",JLPT_1 JLPT,K{%YNbdXo{
客観,きゃっかん,객관,JLPT_1 JLPT,FE+)c7=xm.
キャッチ,キャッチ,"포착, 잡기",JLPT_1 JLPT,EE+~Pnl{z$
キャリア,キャリア,보균자,JLPT_1 JLPT,917%#^`DD
救援,きゅうえん,구원,JLPT_1 JLPT,"xis(gT,lCH"
休学,きゅうがく,휴학,JLPT_1 JLPT,peW#H`ri[=
究極,きゅうきょく,궁극,JLPT_1 JLPT,Ft[`OH9ZtO
窮屈,きゅうくつ,"비좁음, 답답함",JLPT_1 JLPT,"HH&,U(vAg`"
球根,きゅうこん,구근,JLPT_1 JLPT,Q6BKH*&nE1
救済,きゅうさい,구제,JLPT_1 JLPT,c=d|._&IWr
給仕,きゅうじ,웨이터,JLPT_1 JLPT,pzoWY8TS(/
給食,きゅうしょく,급식,JLPT_1 JLPT,zeAtvQ@_)h
休戦,きゅうせん,휴전,JLPT_1 JLPT,Q9p5.}YQtg
宮殿,きゅうでん,궁전,JLPT_1 JLPT,EOPs=A9D6~
旧知,きゅうち,구면,JLPT_1 JLPT,A}I5035vZ1
窮乏,きゅうぼう,궁핍,JLPT_1 JLPT,fEoLTLW@>]
寄与,きよ,기여,JLPT_1 JLPT,hYW_RFKwv/
強,きょう,강,JLPT_1 JLPT,j5ZhDwA$S
～狂,～きょう,-광,JLPT_1 JLPT,wkNK|ibT&!
驚異,きょうい,경이,JLPT_1 JLPT,I!i(y?o6E:
教科,きょうか,교과,JLPT_1 JLPT,M&=I]j0/Y0
協会,きょうかい,협회,JLPT_1 JLPT,Oz4*Mxo4//
共学,きょうがく,남녀 공학,JLPT_1 JLPT,eKY($Dr5lQ
共感,きょうかん,공감,JLPT_1 JLPT,w0|w&}3|}:
境遇,きょうぐう,처지,JLPT_1 JLPT,dN:;6sg&]2
教訓,きょうくん,교훈,JLPT_1 JLPT,pOHPj(bnYG
強行,きょうこう,강행,JLPT_1 JLPT,tf7&|-V:n8
強硬,きょうこう,강경,JLPT_1 JLPT,bA*b92)[ZU
教材,きょうざい,교재,JLPT_1 JLPT,p)!Q@]*y>T
凶作,きょうさく,흉작,JLPT_1 JLPT,I`.1X|DPXu
業者,ぎょうしゃ,업자,JLPT_1 JLPT,o&/6(ODjkj
教習,きょうしゅう,교습,JLPT_1 JLPT,H/=&)s/)`t
郷愁,きょうしゅう,향수,JLPT_1 JLPT,eZKQ^QCO2_
教職,きょうしょく,교직,JLPT_1 JLPT,y`GfZjj}.E
興じる,きょうじる,흥청망청하다,JLPT_1 JLPT,"Q;m4!,`BN,"
強制,きょうせい,강제,JLPT_1 JLPT,Hm$>AvE1~h
行政,ぎょうせい,행정,JLPT_1 JLPT,r~TWhqKvAt
業績,ぎょうせき,업적,JLPT_1 JLPT,Lk<<za38cF
共存,きょうぞん,공존,JLPT_1 JLPT,Ij!^n@6%SF
協定,きょうてい,협정,JLPT_1 JLPT,K9?Jw]OMOi
郷土,きょうど,향토,JLPT_1 JLPT,Q4`7(5-Vb`
脅迫,きょうはく,으름장,JLPT_1 JLPT,k[s}KC9iC{
業務,ぎょうむ,업무,JLPT_1 JLPT,b&$V6PlYM?
共鳴,きょうめい,공명,JLPT_1 JLPT,kl1yRR~Dbc
郷里,きょうり,고향,JLPT_1 JLPT,J6)+at[SJG
強烈,きょうれつ,강렬하다,JLPT_1 JLPT,r]=;%Z2Ns;
共和,きょうわ,공화,JLPT_1 JLPT,GU{+)z^)dD
局限,きょくげん,국한,JLPT_1 JLPT,xsMbwTI.xJ
極端,きょくたん,"극단, 극단적",JLPT_1 JLPT,P.Mzv1I{9}
居住,きょじゅう,거주,JLPT_1 JLPT,m]/OZ*9GsC
拒絶,きょぜつ,거부,JLPT_1 JLPT,pF/Q.UL^fh
漁船,ぎょせん,"고기잡이배, 고깃배",JLPT_1 JLPT,M@u:oyW>Kw
漁村,ぎょそん,어촌,JLPT_1 JLPT,oLHH[@w)KZ
拒否,きょひ,거절,JLPT_1 JLPT,xZG_N4@O9B
許容,きょよう,허용,JLPT_1 JLPT,"m;[9Tjw,qU"
清らか,きよらか,"깨끗한, 순수한, 정결한",JLPT_1 JLPT,rPKJ~vEwnZ
きらびやか,きらびやか,"화려한, 요란한, 눈부신",JLPT_1 JLPT,t+RU;/m(KM
～きり,～きり,"~뿐, ~한 채로",JLPT_1 JLPT,uzRZwLFG-t
義理,ぎり,의리,JLPT_1 JLPT,so:x7klic}
切替,きりかえ,"전환, 변경",JLPT_1 JLPT,B])<#Pn[DB
気流,きりゅう,기류,JLPT_1 JLPT,ph[xS7hP4#
切れ目,きれめ,칼집,JLPT_1 JLPT,"C#,Pog7@LR"
疑惑,ぎわく,의혹,JLPT_1 JLPT,se:RwXAAh
極めて,きわめて,"극히, 되게",JLPT_1 JLPT Intermediate_Japanese_Ln.13 Intermediate_Japanese,EKB18v#}a&
近眼,きんがん,근시,JLPT_1 JLPT,dD[Q^z/~(w
緊急,きんきゅう,긴급,JLPT_1 JLPT,DgtR0$#5Qg
近郊,きんこう,근교,JLPT_1 JLPT,JfO#&<*3[k
均衡,きんこう,"평형, 균형",JLPT_1 JLPT,x>zIhBvkg*
禁じる,きんじる,금하다,JLPT_1 JLPT,r7Q>%_(/mr
勤勉,きんべん,근면,JLPT_1 JLPT,uYoa=%x]!q
吟味,ぎんみ,음미,JLPT_1 JLPT,p>zee?sO9;
勤務,きんむ,근무,JLPT_1 JLPT,hhs(k1{TN}
禁物,きんもつ,금물,JLPT_1 JLPT,sWH*^U2<+H
勤労,きんろう,근로,JLPT_1 JLPT,C^)QBm`a.U
クイズ,クイズ,퀴즈,JLPT_1 JLPT,m9+]J[|ov;
食い違う,くいちがう,엇갈리다,JLPT_1 JLPT,dlUQZZk[k&
